X,Y
1,32706.955078
2,32738.277344
3,32632.888672
4,32789.910156
5,32733.421875
6,32752.744141
7,32784.687500
8,32775.476562
9,32708.666016
10,32765.855469
11,32746.644531
12,32704.544922
13,32790.253906
14,32775.988281
15,32808.777344
16,32712.222656
17,32786.832031
18,32759.021484
19,32755.054688
20,32681.388672
21,32729.933594
22,32734.099609
23,32748.921875
24,32789.578125
25,32693.677734
26,32745.544922
27,32738.500000
28,32743.900391
29,32812.167969
30,32844.632812
31,32801.898438
32,32794.179688
33,32824.000000
34,32819.488281
35,32847.890625
36,32749.421875
37,32871.933594
38,33208.820312
39,33600.066406
40,33504.355469
41,33674.656250
42,33694.988281
43,33638.523438
44,33745.101562
45,33688.601562
46,33670.699219
47,33605.589844
48,33598.500000
49,33587.722656
50,33584.234375
51,33717.378906
52,33624.644531
53,33509.843750
54,33583.367188
55,33593.800781
56,33521.867188
57,33586.957031
58,33433.656250
59,33492.566406
60,33447.378906
61,33536.667969
62,33504.656250
63,33429.632812
64,33466.710938
65,33475.945312
66,33325.488281
67,33551.554688
68,33436.910156
69,33455.867188
70,33411.179688
71,33425.101562
72,33379.589844
73,33191.121094
74,33449.011719
75,33326.832031
76,33426.433594
77,33396.710938
78,33424.246094
79,33381.589844
80,33350.589844
